feature,importance
nearby_avg_popularity,0.22065563
temperature_2m_max,0.13047405
latitude,0.10438691
longitude,0.09093009
temperature_2m_mean,0.086220846
season,0.066480905
precipitation_hours,0.06290739
month,0.04817518
is_weekend,0.0290232
precipitation_sum,0.025585191
temperature_2m_min,0.024124065
day_of_week,0.024092732
is_holiday,0.020811586
rain_sum,0.019096285
day,0.017462812
windgusts_10m_max,0.014527078
windspeed_10m_max,0.0094361855
snowfall_sum,0.005609897
