grid_id,center_lat,center_lon,predicted_demand,actual_demand,station_count,nearby_subway_stations_count,nearby_bus_stops_count,nearby_restaurants_count,nearby_shops_count,nearby_offices_count,nearby_universities_count,nearby_schools_count,nearby_hospitals_count,nearby_banks_count,nearby_parks_area_sqm
183,42.247249999999994,-71.15725,30.798494,0.0,0,0,0,1,2,1,0,1,0,0,30246.499842810208
184,42.247249999999994,-71.15275,25.924822,0.0,0,0,0,1,2,1,0,2,0,0,30654.769739208085
194,42.247249999999994,-71.10775000000001,20.945982,0.0,0,0,1,0,0,1,0,1,0,0,0.0
195,42.247249999999994,-71.10325,20.238943,0.0,0,0,0,0,0,0,0,1,0,0,0.0
197,42.247249999999994,-71.09425,20.238943,0.0,0,0,0,0,0,0,0,1,0,0,0.0
200,42.247249999999994,-71.08075,22.078123,0.0,0,0,0,0,0,0,0,1,1,0,0.0
208,42.247249999999994,-71.04475,26.19413,0.0,0,0,0,0,0,0,0,0,0,0,574197.6659747139
218,42.247249999999994,-70.99975,31.673796,0.0,0,0,29,25,24,4,0,1,0,3,70679.3976339412
227,42.25175,-71.15725,30.798494,0.0,0,0,0,1,2,1,0,1,0,0,32028.635806349153
228,42.25175,-71.15275,25.924822,0.0,0,0,0,1,2,1,0,2,0,0,30246.499842810208
261,42.25175,-71.00425000000001,25.085667,0.0,0,2,27,24,22,7,0,2,0,4,77933.60452672729
262,42.25175,-70.99975,27.493973,0.0,0,2,25,26,29,7,0,2,0,5,67071.05375075225
265,42.256249999999994,-71.18425,30.258327,0.0,0,0,0,0,1,1,0,1,0,0,3537.002551162069
266,42.256249999999994,-71.17975000000001,24.854061,0.0,0,0,0,0,2,1,0,1,0,0,0.0
267,42.256249999999994,-71.17525,22.16482,0.0,0,0,1,2,6,0,0,1,0,0,0.0
309,42.26075,-71.18425,30.258327,0.0,0,0,0,0,1,1,0,1,0,0,3537.002551162069
310,42.26075,-71.17975000000001,24.854061,0.0,0,0,0,0,2,1,0,1,0,0,0.0
311,42.26075,-71.17525,24.337395,0.0,0,0,0,1,3,0,0,1,0,0,0.0
312,42.26075,-71.17075,26.336586,0.0,0,0,1,7,6,0,0,0,0,1,0.0
352,42.265249999999995,-71.18875,26.959864,0.0,0,0,0,0,0,1,0,1,0,0,3537.002551162069
353,42.265249999999995,-71.18425,21.857313,0.0,0,0,0,0,0,1,0,2,0,0,3537.002551162069
355,42.265249999999995,-71.17525,24.337395,0.0,0,0,0,0,4,0,0,1,0,0,0.0
