station_name,latitude,longitude,station_type,nearby_subway_stations_count,nearby_shops_count,nearby_restaurants_count,nearby_universities_count,nearby_offices_count
Haines Square,42.423331368452885,-71.09124541293568,Park/Recreation,0,14,3,0,3
Hale Park,42.41532709603205,-71.05281829839441,Commercial,0,54,15,0,11
Hancock St at Pleasant St,42.30981924861789,-71.06019938382815,Park/Recreation,0,7,6,0,3
Harambee Park - Westview St at Blue Hill Ave,42.2912605,-71.088675,Park/Recreation,0,0,0,0,2
Harbor St at Channel St,42.34514378,-71.03645329,Residential,0,1,15,0,2
Harris Park,42.41081837243052,-71.08152866385353,Park/Recreation,0,19,13,0,1
Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,Park/Recreation,3,38,114,3,27
Harrison Ave at Bennet St (former),42.3493102175903,-71.06210500001907,Park/Recreation,3,38,110,3,25
Harrison Ave at E. Dedham St,42.339194,-71.06975,University,0,10,17,3,3
Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,Commercial,1,22,19,3,7
Harrison Ave at Mullins Way (former),42.34510857037852,-71.06392078119825,Commercial,0,22,19,3,7
Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735,Commercial,0,92,102,2,36
Harvard Ave at Brainerd Rd (former),42.349561885454115,-71.1302706227616,Commercial,0,93,102,2,37
Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,Park/Recreation,1,79,61,9,12
Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Commercial,0,15,12,10,12
Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802,Park/Recreation,0,12,6,1,6
Harvard Square at Brattle St / Eliot St,42.373328,-71.120886,Park/Recreation,1,82,62,9,16
Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Park/Recreation,1,97,70,8,20
Harvard St and Stedman St,42.3443517550051,-71.12490355968475,Commercial,0,55,50,0,1
Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,Commercial,0,20,42,1,27
Harvard St at Greene-Rose Heritage Park (former),42.36599406030789,-71.09516322612761,Commercial,0,19,43,1,27
Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Park/Recreation,0,14,21,5,3
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Commercial,0,41,19,9,11
Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Commercial,1,39,37,6,9
Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,Commercial,1,39,37,6,9
Harvard University Housing - 111 Western Ave. at Soldiers Field Park,42.365064,-71.119233,Park/Recreation,0,4,5,5,1
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Park/Recreation,0,26,22,3,14
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Commercial,0,26,14,7,12
Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36920617098944,-71.11687034368515,Park/Recreation,1,80,67,3,17
Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,Park/Recreation,0,7,5,4,5
Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Park/Recreation,0,4,5,0,4
Hayes Square at Vine St.,42.377022,-71.056605,Park/Recreation,0,4,5,0,4
Heath St at South Huntington,42.32797270205962,-71.11089706420898,Park/Recreation,0,3,4,0,3
Herter Park,42.365723613644,-71.13539289,Park/Recreation,0,7,9,2,5
Hickey Park,42.424981,-71.098973,Park/Recreation,0,4,2,0,2
High St at Cypress St,42.32464510949409,-71.12135231494904,Park/Recreation,0,3,2,0,0
High St at Federal St,42.35352778,-71.05622222,Commercial,3,73,168,4,51
Honan Library,42.36027370454934,-71.12852452327388,Park/Recreation,0,14,7,4,6
Hood Park,42.38004534693313,-71.0730457305908,Transit Hub,1,2,1,0,4
Hormel Stadium,42.40721644126376,-71.09651505947113,Park/Recreation,0,8,1,0,0
Huntington Ave at Colburn St,42.33268137,-71.11083321,Park/Recreation,0,2,13,2,2
Huntington Ave at Exeter St,42.34785628,-71.078951,Commercial,3,278,122,1,53
Huntington Ave at Mass Art,42.336585554561154,-71.0988699646623,Park/Recreation,0,4,11,7,5
Huntington Ave at Mass Art (former),42.33651909304393,-71.0989692435578,Park/Recreation,0,4,11,7,5
Huntington Ave at St. Alphonsus St,42.33611341,-71.09921672,Park/Recreation,0,4,12,7,6
Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378,Commercial,0,17,9,1,5
Huron Ave. At Vassal Lane,42.381650612901176,-71.13426981498378,Commercial,0,17,9,1,5
Hyde Park Ave at Arlington St,42.26286746177123,-71.12163126468657,Residential,0,1,1,0,0
Hyde Park Ave at Walk Hill St,42.29606704649873,-71.11601199963843,Park/Recreation,0,15,8,0,3
Hyde Park Library,42.2568376,-71.122509,Transit Hub,2,5,5,0,1
Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,Park/Recreation,0,15,14,0,1
Hyde Square - Centre St at Perkins St,42.32176525723952,-71.10984160567114,Park/Recreation,0,15,14,0,1
Hyde Square at Barbara St,42.320998,-71.110833,Park/Recreation,0,17,14,0,1
ID Building East,42.344827,-71.028664,Residential,0,0,4,0,1
ID Building West,42.344796,-71.031614,Residential,0,0,7,0,1
Ink Block,42.345901,-71.063187,Commercial,2,22,20,2,10
Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Commercial,2,22,20,2,10
Inman Square at Springfield St.,42.37426713524931,-71.10026478767395,Commercial,0,39,28,0,15
Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Commercial,0,37,29,0,14
Innerbelt at East Somerville Station,42.37960965003606,-71.0864374968312,Commercial,1,35,5,0,7
Innovation Lab - 125 Western Ave at Batten Way,42.36371276003581,-71.12459778785706,Park/Recreation,0,5,5,4,2
Innovation Lab - 125 Western Ave. at Batten Way,42.363732,-71.124565,Park/Recreation,0,5,5,4,2
Ipswich St at Van Ness St,42.3458089,-71.09548545,Park/Recreation,2,31,56,2,14
JFK / UMASS at MBTA Station,42.320494,-71.051122,Park/Recreation,2,15,3,0,2
JFK Crossing at Harvard St. / Thorndike St.,42.346551241753566,-71.1283321143128,Commercial,0,54,44,0,14
JFK/UMass T Stop,42.32033973515723,-71.05118036270142,Park/Recreation,2,16,3,0,2
JP Center - Centre Street at Myrtle Street,42.313156,-71.11414,Park/Recreation,0,30,22,0,12
Jackson Square T Stop,42.32293117195949,-71.10014140605927,Park/Recreation,1,4,2,0,3
Jackson Square T at Centre St,42.322701,-71.099533,Park/Recreation,1,4,2,0,4
Jamaica St at South St,42.3060456272408,-71.11570891001975,Park/Recreation,0,26,9,0,10
Jamaicaway at Perkins St,42.321251,-71.116483,Park/Recreation,0,8,7,0,0
Jersey St. at Boylston St.,42.3446808403874,-71.09785348176956,Park/Recreation,2,33,48,4,13
John Ahern Field at Kennedy-Longfellow School,42.36903566594827,-71.08630959910442,Park/Recreation,0,19,24,1,21
John F Fitzgerald - Surface Road at India Street,42.358155,-71.052163,Commercial,4,47,99,1,39
Kearins Playground,42.40616124132245,-71.06041654944418,Park/Recreation,0,8,6,0,9
Kendall Street,42.36356015842989,-71.08216792345047,Park/Recreation,1,21,35,1,32
Kendall T,42.3624278429124,-71.08495473861694,Park/Recreation,1,13,35,1,35
Kenmore Sq / Comm Ave,42.348706,-71.097009,Park/Recreation,2,30,37,1,15
Kenmore Square,42.348706,-71.097009,Park/Recreation,2,30,37,1,15
Kenmore Square - 660 Beacon St,42.34922,-71.095751,Park/Recreation,2,22,28,1,12
Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,Commercial,0,25,22,1,18
Kierstead Park,42.4293383849641,-71.05191290060668,Commercial,0,21,6,0,3
Knoll St at Centre St,42.29376656473529,-71.1365658044815,Park/Recreation,0,0,0,0,0
Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,Commercial,2,44,56,1,32
Lake St. at Minuteman Bikeway,42.4041703390082,-71.14690375265656,Park/Recreation,0,20,12,0,5
Landmark Center - Brookline Ave at Park Dr,42.34369055719747,-71.10235286881107,Park/Recreation,3,29,56,4,13
Landmark Centre,42.343912,-71.102221,Park/Recreation,3,29,55,4,12
Langley Lot,42.330528,-71.192861,Park/Recreation,1,10,16,0,2
Lansdowne T Stop,42.34734473177431,-71.1001680795016,Park/Recreation,3,39,65,3,16
Lawn on D,42.344792,-71.044024,Park/Recreation,0,1,13,0,4
Lechmere Canal Park,42.36984,-71.076079,Park/Recreation,2,21,20,0,13
Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Park/Recreation,2,22,18,0,11
Lenox St at Kendall St,42.33759485033856,-71.08255058528357,Commercial,1,28,40,2,6
Lesley University,42.38674802045056,-71.11901879310608,Commercial,2,67,41,5,11
Lewis Mall Wharf,42.365678711213775,-71.04030132293701,Park/Recreation,1,21,20,0,5
Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,Commercial,1,57,89,0,2
Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Commercial,1,57,89,0,2
Lincoln St at Empire St,42.357651,-71.128513,Commercial,0,47,19,3,7
Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,Commercial,0,31,9,0,14
Linwood St at Minuteman Bikeway,42.40935395518158,-71.14906518727366,Park/Recreation,0,24,4,0,8
Logan Park,42.41800742890374,-71.0965722102992,Park/Recreation,0,10,4,0,2
Longwood Ave / Binney St,42.338629,-71.1065,Park/Recreation,1,2,12,8,4
Longwood Ave at Binney St,42.338629,-71.1065,Park/Recreation,1,2,12,8,4
Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,Park/Recreation,0,7,5,2,2
Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Park/Recreation,0,8,5,2,2
MIT Carleton St at Amherst St,42.36054174140606,-71.08669817447662,Park/Recreation,1,11,32,1,29
MIT Hayward St at Amherst St,42.36085937353302,-71.08551858007559,Park/Recreation,1,11,30,1,32
MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,Park/Recreation,0,12,31,1,25
MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,Park/Recreation,1,10,37,1,35
MIT Vassar St,42.355601213279265,-71.10394477844238,Park/Recreation,0,4,2,2,8
MIT at Mass Ave / Amherst St,42.3581,-71.093198,Park/Recreation,0,5,15,1,19
MLK Blvd at Washington St,42.32143814183195,-71.09126061201096,Park/Recreation,0,1,0,0,2
Magoun Square at Trum Field,42.39778339961249,-71.10594004465383,Park/Recreation,2,11,5,0,3
Main St at Austin St,42.375603,-71.064608,Park/Recreation,1,10,11,0,1
Main St at Baldwin St,42.380857,-71.070629,Park/Recreation,0,4,2,0,5
Main St at Beacon St,42.41072713868097,-71.06266822675025,Park/Recreation,0,2,1,0,0
Main St at Brooks Park,42.411709,-71.110444,University,0,8,5,1,0
Main St at Devens St,42.37401575,-71.06331387,Park/Recreation,0,10,11,0,4
Main St at Salem St,42.3771,-71.06646,Transit Hub,1,10,8,0,2
Main St at Thompson Sq,42.374878467440965,-71.06383498767171,Park/Recreation,0,10,11,0,1
Main St at Thompson Sq (former),42.374917,-71.063829,Park/Recreation,0,10,11,0,1
Main Street at Carter Street,42.406151572663504,-71.0604074504954,Park/Recreation,0,8,6,0,9
Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,Park/Recreation,1,11,38,1,39
Malden Center T Station,42.426541,-71.073179,Commercial,2,49,35,0,12
Malden High School,42.426537658440544,-71.06393694877625,Commercial,0,35,38,0,4
Maplewood Square,42.43359,-71.046279,Commercial,0,12,8,0,3
Marion St at Harvard St,42.340122426966424,-71.12070563810447,Commercial,0,50,40,0,0
Marion St at White St,42.38066930871317,-71.03907315999093,Commercial,0,17,2,0,0
Market St at Faneuil St,42.35480179069945,-71.15025043487549,Park/Recreation,0,4,7,0,3
Market St at Mapleton St,42.35207673,-71.151571,Park/Recreation,0,7,17,0,2
Martha Eliot Health Center,42.324173,-71.10196,Park/Recreation,1,6,3,0,2
Mass Ave T Station,42.34135615767354,-71.08336953450817,Commercial,2,47,58,3,10
Mass Ave at Albany St,42.36135837662249,-71.09670273977825,Park/Recreation,1,22,46,1,36
Mass Ave at Alewife Greenway,42.401364806487635,-71.13655772883486,Commercial,0,37,20,0,7
Mass Ave at Broadway,42.414202132001854,-71.15051883389242,Park/Recreation,0,42,26,0,15
Mass Ave at Grafton St,42.40726052447951,-71.14382132425817,Commercial,0,42,17,0,8
Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,Commercial,2,72,49,3,16
Mass Ave at Hadley/Walden (former),42.39138548863825,-71.12288117408751,Commercial,2,70,52,3,16
Mass Ave at Newmarket Square,42.326599,-71.066498,Commercial,1,15,13,0,0
Mass Ave/Lafayette Square,42.36356498989399,-71.10044184048091,Commercial,2,44,56,1,32
Massachusetts Ave at Boylston St.,42.34752,-71.088012,Park/Recreation,1,145,86,4,32
Massachusetts Ave at Columbus Ave,42.340814,-71.0816197,Commercial,2,47,55,3,8
Mattapan Library,42.2773889,-71.09325,Park/Recreation,0,0,0,0,1
Mattapan Library (former),42.2773889,-71.09325,Park/Recreation,0,0,0,0,1
Mattapan T Stop,42.267902,-71.093641,Park/Recreation,2,0,2,0,0
Mattapan T Stop (former),42.267902,-71.093641,Park/Recreation,2,0,2,0,0
Maverick Sq - Lewis Mall,42.368838571365195,-71.03976666949166,Park/Recreation,1,48,31,0,15
Maverick Square - Lewis Mall,42.36884408289835,-71.03977829217911,Park/Recreation,1,48,31,0,15
Maverick St at Massport Path,42.36774122306014,-71.0333597474255,Park/Recreation,0,35,19,0,12
Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,Park/Recreation,8,94,147,2,53
Meaney Playground - Pleasant St at E Cottage St,42.31870274532011,-71.05889977661718,Commercial,0,18,7,0,2
Meaney Playground - Pleasant st at E Cottage St,42.318703,-71.0589,Commercial,0,18,7,0,2
Medford Sq - Riverside Ave at River St,42.417724,-71.108102,Park/Recreation,0,15,15,0,3
Medford St at Charlestown BCYF,42.380429474494896,-71.06055721676967,Park/Recreation,0,6,2,0,2
Medford St at Charlestown BCYF (former),42.380584,-71.060875,Park/Recreation,0,6,2,0,2
Medford St at McNulty Ct,42.37916,-71.0578627,Park/Recreation,0,6,2,0,3
Medford St at Warren St,42.41649057463282,-71.14813429053619,Park/Recreation,0,33,22,0,14
Medford St. at Warren St.,42.41649057463282,-71.14813429053619,Park/Recreation,0,33,22,0,14
Melnea Cass Blvd at Hampden St,42.330982,-71.075526,Park/Recreation,0,4,2,1,2
Mill St. at Minuteman Bikeway,42.4186027386165,-71.15753579744356,Park/Recreation,0,34,19,0,12
Mobile Temporary Station,42.34397624831833,-71.08598473086202,Park/Recreation,3,120,87,3,17
Moore Youth Center,42.363539,-71.111698,Park/Recreation,0,13,12,2,10
Morgan Ave at North First St,42.37197725963389,-71.07585847383234,Park/Recreation,2,14,15,0,10
Morton St T,42.280725142920296,-71.08617242434775,Transit Hub,1,0,1,0,1
Morton St T (former),42.28075382961448,-71.08621831150231,Transit Hub,1,0,1,0,1
Morton St at Gallivan Blvd,42.278747,-71.080286,Transit Hub,1,0,1,0,1
Mt Auburn,42.37478628706384,-71.13320231437683,Park/Recreation,0,0,0,2,1
Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,Park/Recreation,0,1,1,0,1
Mt. Hope St at Hyde Park Ave,42.28484472443536,-71.11874517062459,Park/Recreation,0,1,1,0,0
Mugar Way at Beacon St,42.35553628489709,-71.07286870479584,Park/Recreation,1,164,28,0,37
Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Park/Recreation,0,0,3,0,0
Museum of Science,42.36769018024484,-71.07116281986237,Park/Recreation,2,11,9,0,7
Mystic Ave at Crescent St,42.41081,-71.106276,Park/Recreation,0,8,4,1,0
Mystic Valley Parkway at River Station,42.415091,-71.139177,Park/Recreation,0,8,1,0,0
N. Beacon St at N. Beacon Ct,42.36444157139109,-71.18091373646166,Park/Recreation,0,25,21,0,6
N. Harvard St at Harvard Way,42.36678297,-71.12517547,Park/Recreation,0,3,5,4,1
NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Park/Recreation,0,2,1,0,3
Nashua Street at Red Auerbach Way,42.365673,-71.064263,Park/Recreation,5,26,32,0,14
Nashua Street at Red Auerbach Way [Extension],42.3658584571002,-71.064157369577,Park/Recreation,5,22,32,0,14
New Balance - 20 Guest St,42.35732921867706,-71.14673539996147,Park/Recreation,0,11,12,0,5
New Balance - 20 Guest St.,42.357402,-71.147782,Park/Recreation,0,9,12,0,4
New Balance Store - Boylston at Dartmouth,42.350413,-71.07655,Park/Recreation,4,274,99,0,56
New Edgerly Plaza - Westland Ave at Edgerly Rd,42.34367194,-71.08742,Park/Recreation,3,74,76,3,16
Newbury St / Hereford St,42.348717,-71.085954,Park/Recreation,1,207,106,2,36
Newbury St at Hereford St,42.348717,-71.085954,Park/Recreation,1,207,106,2,36
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Commercial,1,15,13,0,0
Nichols Ave. at Watertown Greenway,42.36762048745005,-71.1565663665533,Park/Recreation,0,23,14,0,5
Norman St at Kelvin St,42.40985877544303,-71.06631867605756,Park/Recreation,0,2,1,0,0
Northampton St at Fellows St,42.333586070395285,-71.075188,University,0,7,7,2,3
Northbourne Rd at Hyde Park Ave,42.29118034790426,-71.117736660035,Park/Recreation,0,5,2,0,0
Northeastern U / North Parking Lot,42.341814,-71.090179,Park/Recreation,1,38,50,3,8
Northeastern University - North Parking Lot,42.341814,-71.090179,Park/Recreation,1,38,50,3,8
Northern Ave at Haul Rd,42.347181,-71.035796,Residential,0,1,17,0,2
Northern Strand - West St & Wellington Ave,42.403444,-71.063278,Park/Recreation,0,11,2,0,0
Northern Strand at Bike Kitchen,42.42083422873447,-71.07216525162619,Commercial,0,17,13,0,7
Northern Strand at Main St,42.42386,-71.067793,Commercial,0,39,41,0,10
Northern Strand at Salem Street,42.441956,-71.01468,Residential,0,0,0,0,0
Northhampton St at Fellows St,42.333586070395285,-71.075188,University,0,7,7,2,3
Nubian Square - Bolling Building,42.329842993518085,-71.08386572459494,Park/Recreation,0,5,5,0,2
O'Brien Highway at First Street,42.370982,-71.076638,Park/Recreation,2,21,17,0,11
Oak Square - 615 Washington St,42.35057,-71.166491,Park/Recreation,0,4,11,2,1
Oak Square - Washington St at Bigelow St,42.35062298,-71.16744293,Park/Recreation,0,4,11,2,1
Oak Square YMCA,42.35048161669747,-71.16636693499458,Park/Recreation,0,4,11,2,1
Old Morse Park at Putnam Ave,42.35766247889882,-71.1084133386612,Park/Recreation,0,9,4,2,6
One Beacon St,42.358477644348106,-71.06135129928589,Commercial,7,88,121,2,48
One Brigham Circle,42.33392270136997,-71.10446508982932,Park/Recreation,0,6,18,5,2
One Brigham Circle (former),42.333919727205775,-71.10446777203833,Park/Recreation,0,6,18,5,2
One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,Park/Recreation,1,12,33,1,31
One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Commercial,1,13,33,1,29
One Memorial Drive,42.361619320766856,-71.0804355052096,Park/Recreation,1,8,22,1,24
Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Park/Recreation,1,12,12,0,1
Orr Sq (Shirley Ave),42.40715655698643,-70.99272429943085,Transit Hub,1,10,17,0,0
Packard Ave / Powderhouse Blvd,42.40449,-71.123413,Commercial,0,11,9,1,4
Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Commercial,0,11,9,1,4
Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,Park/Recreation,0,35,37,1,16
Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Park/Recreation,0,35,37,1,16
Park Dr at Buswell St,42.347241,-71.105301,Park/Recreation,3,35,58,4,13
Park Plaza at Charles St,42.351828068920675,-71.06781138111728,Park/Recreation,4,82,88,3,35
Park Plaza at Charles St (former),42.35186,-71.067688,Park/Recreation,4,83,90,3,35
Park Plaza at Charles St S.,42.351828068920675,-71.06781138111728,Park/Recreation,4,82,88,3,35
Park Plaza at Columbus Ave,42.35186,-71.067688,Park/Recreation,4,83,90,3,35
Park St at Norwell St,42.29442578670662,-71.07821760713703,Park/Recreation,1,0,1,0,0
Park Street T Stop - Tremont St at Park St,42.3566271,-71.062457,Park/Recreation,6,84,128,2,42
Parker St at Huntington Ave,42.3384884941905,-71.09261138044758,Park/Recreation,2,12,33,3,4
Pearl St at Medford St,42.388157054195254,-71.09588742256165,Park/Recreation,1,25,8,0,2
Pearl St at Milk St,42.35677593,-71.05549774,Commercial,5,83,145,2,53
Perry Park,42.37927324600841,-71.10341902831351,Commercial,0,50,30,0,5
Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Commercial,0,14,46,0,17
Piers Park,42.36501119822304,-71.03528559207916,Park/Recreation,1,16,13,0,4
Piers Park- Marginal St at East Boston Shipyard,42.36489045541549,-71.0350424052376,Park/Recreation,1,15,12,0,4
Pope John High School,42.420348701645025,-71.04419767862055,Commercial,0,26,9,0,4
Pope John Paul II Park - Neponset Trail at Hallet St,42.279774,-71.046085,Park/Recreation,0,4,0,0,0
Porter Square Station,42.387995,-71.119084,Commercial,2,70,38,3,8
Porzio Park,42.364119035231525,-71.02876782417297,Park/Recreation,0,2,7,0,2
Post Office Square,42.35585435522005,-71.05459745998814,Commercial,6,74,152,2,55
Post Office Square - Pearl St at Milk St,42.356755,-71.055407,Commercial,5,83,145,2,53
Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Transit Hub,2,14,15,1,2
Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,Commercial,4,240,135,2,45
Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,Commercial,4,240,135,2,45
Prudential Center / Belvidere,42.345959,-71.082578,Commercial,3,240,136,3,39
Purchase St at Pearl St,42.354659,-71.053181,Commercial,3,47,124,1,51
Railroad Lot and Minuteman Bikeway,42.41606457115141,-71.15336636682059,Park/Recreation,0,41,30,0,20
Raymond Park at Walden St,42.38736953747185,-71.12761001482795,Park/Recreation,0,15,4,1,6
Reservoir Rd at Beacon St,42.331459,-71.157672,Park/Recreation,0,0,0,2,0
Revere Beach - Markey Footbridge,42.414019,-70.989609,Transit Hub,1,1,4,0,0
Revere City Hall,42.40741,-71.0139,Park/Recreation,0,0,0,0,1
Revere Public Library,42.408088,-71.008942,Park/Recreation,0,1,0,0,1
Rindge Avenue - O'Neill Library,42.392766,-71.129042,Park/Recreation,0,29,8,0,12
Ring Rd,42.348278385426255,-71.08044855314802,Park/Recreation,3,281,127,2,53
Ringer Park - Webley St at Armington St,42.35225564,-71.13718336,Commercial,0,123,81,1,42
Riverway at Brookline Ave,42.33661005730433,-71.11004680395126,Park/Recreation,0,4,19,4,3
Rogers St & Land Blvd,42.366446738529454,-71.07654601335526,Park/Recreation,0,13,20,0,22
Roseland St At Dorchester Ave,42.2911685327193,-71.06300890445709,Transit Hub,1,0,0,0,0
Roslindale Village - South St,42.287072,-71.127754,Park/Recreation,1,6,7,0,0
Roslindale Village - South St (former),42.287072,-71.127754,Park/Recreation,1,6,7,0,0
Roslindale Village - Washington St,42.28630716010807,-71.12820532182013,Park/Recreation,1,6,7,0,0
Roslindale Village - Washington St (former),42.2861532,-71.1283744,Park/Recreation,1,6,7,0,0
Ross Playground,42.2645666,-71.1145523,Park/Recreation,0,2,2,0,0
Rowes Wharf - Atlantic Ave,42.357143,-71.050699,Commercial,1,38,82,0,29
Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Commercial,1,38,82,0,29
Roxbury Crossing Station,42.331184,-71.095171,Park/Recreation,1,1,4,4,2
Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Park/Recreation,1,1,4,4,2
Roxbury YMCA,42.317963,-71.082254,Park/Recreation,0,0,1,0,2
Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393,Park/Recreation,0,0,1,0,2
Ruggles Station / Columbus Ave.,42.335911,-71.088496,Park/Recreation,2,12,26,2,1
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,Park/Recreation,2,13,27,2,1
Rutherford Ave at Bunker Hill Industrial Park,42.379352,-71.071371,Park/Recreation,0,5,4,0,3
Rutherford Ave at Main St,42.38385,-71.073114,Park/Recreation,1,4,3,0,5
Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Park/Recreation,2,22,6,0,1
Ryan Playground - Dorchester Avenue Station,42.317642,-71.056664,Park/Recreation,2,22,6,0,1
S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,Park/Recreation,0,3,4,0,2
Savin Hill MBTA Station,42.310599,-71.053927,Park/Recreation,1,11,7,0,1
Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Park/Recreation,1,11,7,0,1
Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,Commercial,0,17,54,0,28
Seaport Hotel,42.348833,-71.041747,Commercial,0,8,42,0,7
Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,Commercial,0,8,42,0,7
Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,Commercial,0,13,46,0,16
Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983,Commercial,0,12,46,0,13
Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,Commercial,2,50,36,0,16
Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,Commercial,2,50,36,0,16
Shawmut Ave at E Berkeley St,42.344607,-71.06702,Commercial,0,32,36,3,11
Shawmut Ave at Herald St,42.346647,-71.066049,Commercial,1,34,67,4,18
Shawmut Ave at Lenox St,42.33584612997077,-71.08038157224655,Park/Recreation,0,14,16,2,2
Shawmut Ave at Oak St W,42.34854543411198,-71.06559185315746,Park/Recreation,3,59,110,4,25
Shawmut Ave. at Herald St.,42.346647,-71.066049,Commercial,1,34,67,4,18
Shawmut T Stop,42.292917,-71.06575,Transit Hub,1,1,2,0,1
Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,Park/Recreation,0,6,5,2,22
Sidney Research Campus/Erie Street at Waverly,42.35775309465199,-71.10393404960632,Park/Recreation,0,6,5,2,22
Silber Way,42.34949599514002,-71.10057592391968,Park/Recreation,3,24,39,2,14
Smith Pl at Wilson Rd,42.39239749145834,-71.15058331757609,Park/Recreation,0,5,3,0,3
Smith St at Parker St,42.33290175,-71.09683344,Park/Recreation,1,2,4,5,3
Soldiers Field Park - 111 Western Ave,42.36426344063853,-71.1182756971175,Park/Recreation,0,4,4,5,1
Somerville City Hall,42.386844,-71.09812,Commercial,1,14,9,0,4
Somerville City Hall Annex,42.39189811591863,-71.09745375830244,Commercial,1,25,7,0,3
Somerville High School & Central Library,42.3864,-71.09601,Transit Hub,1,12,6,0,2
Somerville Hospital,42.390446216041305,-71.10856622457504,Commercial,1,13,14,0,3
Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,Commercial,1,12,9,0,1
South Boston Library - 646 E Broadway,42.335741,-71.03877,Park/Recreation,0,2,8,0,3
South Boston Library - 646 East Broadway,42.335741,-71.03877,Park/Recreation,0,2,8,0,3
South End Library - Tremont St at W Newton St,42.341332,-71.076847,Commercial,0,28,35,1,9
South Station - 700 Atlantic Ave,42.352175,-71.055547,Commercial,3,50,124,4,46
South Station - 700 Atlantic Ave.,42.352175,-71.055547,Commercial,3,50,124,4,46
